,period,scenaros,value,type
0,1,1,7823.97,final
1,2,1,5885.46,final
2,3,1,4669.06,final
3,4,1,3726.09,final
4,5,1,2812.750000000001,final
5,1,65,7823.97,final
6,2,65,5943.369999999999,final
7,3,65,4696.02,final
8,4,65,3661.3,final
9,5,65,2756.6199999999994,final
10,1,129,7823.97,final
11,2,129,5944.16,final
12,3,129,4711.179999999999,final
13,4,129,3598.9800000000005,final
14,5,129,2788.6000000000004,final
15,1,193,7823.97,final
16,2,193,5895.610000000001,final
17,3,193,4742.22,final
18,4,193,3631.1099999999997,final
19,5,193,2732.1600000000003,final
20,1,257,7823.97,final
21,2,257,5974.08,final
22,3,257,4548.360000000001,final
23,4,257,3808.7300000000005,final
24,5,257,2857.73,final
25,1,321,7823.97,final
26,2,321,5983.46,final
27,3,321,4557.050000000001,final
28,4,321,3801.99,final
29,5,321,2865.9800000000005,final
30,1,385,7823.97,final
31,2,385,5986.58,final
32,3,385,4582.0,final
33,4,385,3826.939999999999,final
34,5,385,2881.96,final
35,1,449,7823.97,final
36,2,449,6007.439999999999,final
37,3,449,4827.65,final
38,4,449,3710.29,final
39,5,449,2791.1800000000003,final
0,1,1,8114.540000000001,ws
1,2,1,6136.1900000000005,ws
2,3,1,4622.4,ws
3,4,1,3474.6000000000004,ws
4,5,1,2716.3700000000003,ws
5,1,65,8103.72,ws
6,2,65,6132.58,ws
7,3,65,4649.570000000001,ws
8,4,65,3513.7,ws
9,5,65,2637.9300000000003,ws
10,1,129,8114.540000000001,ws
11,2,129,6136.1900000000005,ws
12,3,129,4622.4,ws
13,4,129,3474.6000000000004,ws
14,5,129,2716.3700000000003,ws
15,1,193,8027.8600000000015,ws
16,2,193,6022.630000000001,ws
17,3,193,4542.290000000001,ws
18,4,193,3524.7100000000005,ws
19,5,193,2644.88,ws
20,1,257,8149.4800000000005,ws
21,2,257,6116.400000000001,ws
22,3,257,4617.7,ws
23,4,257,3486.6499999999996,ws
24,5,257,2791.11,ws
25,1,321,8111.44,ws
26,2,321,6126.09,ws
27,3,321,4623.43,ws
28,4,321,3520.7099999999996,ws
29,5,321,2642.9900000000002,ws
30,1,385,8152.1,ws
31,2,385,6191.96,ws
32,3,385,4672.73,ws
33,4,385,3553.6,ws
34,5,385,2704.91,ws
35,1,449,8169.55,ws
36,2,449,6159.109999999999,ws
37,3,449,4673.7,ws
38,4,449,3512.6400000000003,ws
39,5,449,2869.9500000000003,ws
